timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T15:53:22,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,78.0,not visible
2026-05-17T15:53:23,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,86.67,not visible
2026-05-17T15:53:24,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.19,not visible
2026-05-17T15:53:25,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.85,not visible
2026-05-17T15:53:26,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.7,not visible
2026-05-17T15:53:27,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.67,not visible
2026-05-17T15:53:28,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.55,not visible
2026-05-17T15:53:29,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.58,not visible
2026-05-17T15:53:30,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.63,not visible
2026-05-17T15:53:31,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,94.3,not visible
2026-05-17T15:53:32,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.78,not visible
2026-05-17T15:53:33,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.78,not visible
2026-05-17T15:53:34,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.62,not visible
2026-05-17T15:53:35,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.05,not visible
2026-05-17T15:53:36,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.54,not visible
2026-05-17T15:53:37,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.07,not visible
2026-05-17T15:53:38,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.5,not visible
2026-05-17T15:53:39,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.65,not visible
2026-05-17T15:53:40,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.6,not visible
2026-05-17T15:53:41,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.68,not visible
2026-05-17T15:53:42,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.93,not visible
2026-05-17T15:53:44,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.84,not visible
2026-05-17T15:53:45,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.21,not visible
2026-05-17T15:53:46,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.29,not visible
2026-05-17T15:53:47,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.18,not visible
2026-05-17T15:53:48,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.19,not visible
2026-05-17T15:53:49,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.65,not visible
2026-05-17T15:53:50,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.44,not visible
2026-05-17T15:53:51,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.33,not visible
2026-05-17T15:53:52,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.22,not visible
2026-05-17T15:53:53,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.14,not visible
2026-05-17T15:53:54,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.84,not visible
2026-05-17T15:53:55,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.23,not visible
2026-05-17T15:53:56,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,87.38,not visible
2026-05-17T15:53:57,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.49,not visible
2026-05-17T15:53:58,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.85,not visible
2026-05-17T15:53:59,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.33,not visible
2026-05-17T15:54:00,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.57,not visible
2026-05-17T15:54:01,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.43,not visible
2026-05-17T15:54:02,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.72,not visible
2026-05-17T15:54:03,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.97,not visible
2026-05-17T15:54:04,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,86.61,not visible
2026-05-17T15:54:05,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.64,not visible
2026-05-17T15:54:06,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.69,not visible
2026-05-17T15:54:07,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.01,not visible
2026-05-17T15:54:09,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.01,not visible
2026-05-17T15:54:10,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.29,not visible
2026-05-17T15:54:11,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.1,not visible
2026-05-17T15:54:12,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.62,not visible
2026-05-17T15:54:13,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.77,not visible
2026-05-17T15:54:14,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.56,not visible
2026-05-17T15:54:15,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.76,not visible
2026-05-17T15:54:16,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,86.02,not visible
2026-05-17T15:54:17,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.25,not visible
2026-05-17T15:54:18,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,86.5,not visible
2026-05-17T15:54:19,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.02,not visible
2026-05-17T15:54:20,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.58,not visible
2026-05-17T15:54:21,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.0,not visible
2026-05-17T15:54:22,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.1,not visible
2026-05-17T15:54:23,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.87,not visible
2026-05-17T15:54:24,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.82,not visible
2026-05-17T15:54:25,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,87.84,not visible
2026-05-17T15:54:26,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.26,not visible
2026-05-17T15:54:27,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,85.05,not visible
2026-05-17T15:54:28,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.81,not visible
2026-05-17T15:54:29,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.29,not visible
