timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T15:57:12,1,72.71,81.33,68.0,31.38,74.79,74.48,74.17,78.0,neutral
2026-05-17T15:57:13,1,75.43,82.0,48.0,48.96,71.07,63.93,58.35,20.0,uncertain
2026-05-17T15:57:14,1,81.84,78.32,48.0,42.9,80.09,70.42,68.45,70.65,uncertain
2026-05-17T15:57:15,1,75.27,80.87,68.0,31.12,76.14,74.72,74.0,73.89,neutral
2026-05-17T15:57:16,1,80.4,80.64,48.0,42.62,79.56,70.81,68.85,71.63,uncertain
2026-05-17T15:57:17,1,82.0,79.35,48.0,41.9,81.06,71.55,70.01,77.38,uncertain
2026-05-17T15:57:19,1,81.52,74.47,68.0,30.37,80.04,75.3,75.01,79.36,neutral
2026-05-17T15:57:20,1,80.08,77.2,48.0,43.08,79.28,70.2,68.89,77.31,uncertain
2026-05-17T15:57:21,1,81.52,73.89,68.0,31.21,79.24,74.35,73.59,72.47,neutral
2026-05-17T15:57:22,1,78.48,78.06,48.0,43.22,78.41,70.09,68.9,78.54,uncertain
2026-05-17T15:57:23,1,62.62,76.82,68.0,36.41,66.03,68.91,68.92,71.14,neutral
2026-05-17T15:57:24,1,81.45,80.17,68.0,29.2,80.66,76.75,75.88,75.86,neutral
2026-05-17T15:57:25,1,81.68,81.54,48.0,42.34,80.29,71.13,68.78,67.99,uncertain
2026-05-17T15:57:26,1,74.15,78.85,68.0,31.59,75.39,74.15,73.92,78.11,neutral
2026-05-17T15:57:27,1,71.27,80.91,48.0,44.1,74.32,69.28,68.76,84.39,uncertain
2026-05-17T15:57:28,1,76.88,79.99,48.0,43.77,77.03,69.56,67.92,72.79,uncertain
2026-05-17T15:57:29,1,77.52,79.86,48.0,42.93,78.15,70.48,69.32,79.62,uncertain
2026-05-17T15:57:30,1,78.16,79.72,48.0,42.4,78.95,71.05,70.13,83.25,uncertain
2026-05-17T15:57:31,1,74.31,78.81,48.0,44.01,75.84,69.29,68.51,81.53,uncertain
2026-05-17T15:57:32,1,63.74,73.24,68.0,36.94,66.28,68.2,68.43,72.03,neutral
2026-05-17T15:57:33,1,65.66,77.64,68.0,34.32,69.29,71.2,71.68,80.38,neutral
2026-05-17T15:57:34,1,74.31,78.0,48.0,44.86,75.07,68.33,67.13,75.25,uncertain
2026-05-17T15:57:35,1,80.88,76.81,68.0,31.33,78.6,74.31,72.89,65.38,neutral
2026-05-17T15:57:36,1,80.56,79.63,48.0,42.37,79.97,71.05,69.5,76.36,uncertain
2026-05-17T15:57:37,1,77.68,77.8,68.0,31.04,77.48,74.69,74.13,75.51,neutral
2026-05-17T15:57:38,1,52.07,77.26,68.0,39.0,59.08,66.18,67.17,76.8,neutral
2026-05-17T15:57:39,1,52.8,77.58,68.0,38.32,60.03,66.93,68.13,80.51,neutral
2026-05-17T15:57:40,1,54.01,80.85,68.0,36.77,61.78,68.72,69.88,83.42,neutral
2026-05-17T15:57:41,1,54.01,80.12,68.0,36.67,61.95,68.81,70.23,86.39,neutral
2026-05-17T15:57:42,1,80.88,74.68,68.0,31.4,78.72,74.17,73.25,70.46,neutral
2026-05-17T15:57:43,1,75.75,78.22,48.0,44.5,76.0,68.72,67.32,73.81,uncertain
2026-05-17T15:57:44,1,70.15,74.72,68.0,34.16,71.56,71.25,71.33,76.02,neutral
2026-05-17T15:57:45,1,79.44,78.46,48.0,43.03,78.96,70.31,68.89,76.42,uncertain
2026-05-17T15:57:47,1,80.24,76.68,48.0,42.69,79.78,70.61,69.67,82.09,uncertain
2026-05-17T15:57:48,1,73.35,76.35,68.0,32.81,74.07,72.74,72.48,75.14,neutral
2026-05-17T15:57:49,1,78.96,79.04,48.0,42.88,78.86,70.5,69.17,77.85,uncertain
2026-05-17T15:57:50,1,73.51,78.22,48.0,44.53,75.05,68.71,67.92,80.41,uncertain
2026-05-17T15:57:51,1,80.56,80.5,48.0,41.94,80.32,71.56,70.09,78.31,uncertain
2026-05-17T15:57:52,1,71.11,73.63,48.0,48.66,70.34,64.05,62.07,58.92,uncertain
2026-05-17T15:57:53,1,78.96,79.71,48.0,44.37,77.3,68.87,66.27,61.08,uncertain
2026-05-17T15:57:54,1,65.66,78.57,48.0,48.44,67.89,64.5,62.96,64.71,uncertain
2026-05-17T15:57:55,1,69.51,77.18,48.0,46.45,71.58,66.61,65.81,76.46,uncertain
2026-05-17T15:57:56,1,68.55,74.64,68.0,35.3,69.77,70.01,69.72,69.78,neutral
2026-05-17T15:57:57,1,69.35,73.05,68.0,34.41,71.13,70.93,71.48,80.51,neutral
2026-05-17T15:57:58,1,64.06,80.99,68.0,34.91,67.74,70.66,70.3,70.4,neutral
2026-05-17T15:57:59,1,76.23,77.09,48.0,44.83,75.96,68.31,66.82,71.99,uncertain
