timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T16:00:26,1,51.22,73.83,48.0,52.87,57.97,59.63,60.15,78.0,uncertain
2026-05-17T16:00:27,1,76.88,79.87,48.0,46.11,74.7,66.99,63.65,49.73,uncertain
2026-05-17T16:00:28,1,60.3,77.75,48.0,52.26,61.95,60.32,57.7,45.35,uncertain
2026-05-17T16:00:29,1,77.84,75.77,48.0,46.44,75.14,66.5,63.7,54.58,uncertain
2026-05-17T16:00:30,1,76.88,78.02,48.0,42.99,77.98,70.36,69.8,85.89,uncertain
2026-05-17T16:00:31,1,56.43,75.39,68.0,37.97,62.06,67.21,68.2,78.61,neutral
2026-05-17T16:00:32,1,72.87,69.93,48.0,48.14,71.93,64.5,63.37,68.72,uncertain
2026-05-17T16:00:33,1,72.39,71.79,48.0,47.66,72.04,65.08,63.96,69.95,uncertain
2026-05-17T16:00:34,1,73.99,77.34,48.0,45.33,74.52,67.79,66.5,73.27,uncertain
2026-05-17T16:00:35,1,72.87,73.61,48.0,50.17,69.56,62.37,58.79,38.46,uncertain
2026-05-17T16:00:36,1,77.68,81.39,48.0,43.7,77.3,69.68,67.5,67.28,uncertain
2026-05-17T16:00:37,1,70.95,74.85,68.0,35.9,70.13,69.33,67.86,55.78,neutral
2026-05-17T16:00:38,1,60.55,77.01,48.0,51.62,62.75,61.0,58.97,52.95,uncertain
2026-05-17T16:00:39,1,78.8,87.19,48.0,41.0,79.94,72.81,70.81,75.11,uncertain
2026-05-17T16:00:40,1,67.75,85.12,48.0,46.78,69.81,66.5,63.9,57.13,uncertain
2026-05-17T16:00:41,1,49.65,84.98,68.0,40.59,55.8,64.68,63.18,47.53,neutral
2026-05-17T16:00:42,1,66.62,85.29,68.0,32.34,70.98,73.6,73.29,76.59,neutral
2026-05-17T16:00:43,1,50.5,85.81,68.0,36.43,60.23,69.28,70.4,84.28,neutral
