timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T16:01:17,1,58.61,76.48,48.0,49.86,63.77,62.94,62.9,78.0,uncertain
2026-05-17T16:01:18,1,55.46,76.95,48.0,49.72,62.57,63.14,63.98,87.91,uncertain
2026-05-17T16:01:19,1,61.52,82.78,48.0,47.38,66.87,65.82,65.16,76.75,uncertain
2026-05-17T16:01:20,1,56.67,76.06,48.0,50.6,62.27,62.13,62.2,77.72,uncertain
2026-05-17T16:01:21,1,54.73,73.0,48.0,51.04,61.31,61.57,62.66,87.59,uncertain
2026-05-17T16:01:22,1,56.79,78.43,48.0,49.11,63.59,63.84,64.37,85.86,uncertain
2026-05-17T16:01:23,1,57.52,72.65,48.0,50.47,63.05,62.17,62.98,85.63,uncertain
2026-05-17T16:01:24,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,87.34,not visible
2026-05-17T16:01:25,1,58.49,74.97,48.0,49.54,64.17,63.25,63.87,85.63,uncertain
2026-05-17T16:01:26,1,60.3,71.98,48.0,49.96,64.77,62.68,63.25,83.9,uncertain
2026-05-17T16:01:27,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,83.48,not visible
2026-05-17T16:01:28,1,56.91,67.88,48.0,52.65,61.05,59.63,60.23,78.57,uncertain
2026-05-17T16:01:29,1,59.94,73.06,48.0,50.06,64.42,62.6,62.92,81.1,uncertain
