timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T15:58:07,1,78.0,72.35,48.0,44.97,76.98,68.01,67.14,78.0,uncertain
2026-05-17T15:58:08,1,81.52,73.95,48.0,43.02,80.22,70.16,69.31,82.17,uncertain
2026-05-17T15:58:09,1,81.2,76.87,48.0,42.91,79.94,70.37,68.94,76.42,uncertain
2026-05-17T15:58:10,1,54.13,76.2,68.0,38.92,60.1,66.22,66.95,74.12,neutral
2026-05-17T15:58:11,1,78.96,81.4,48.0,42.64,78.88,70.83,69.07,73.84,uncertain
2026-05-17T15:58:12,1,75.27,72.46,68.0,33.8,74.22,71.52,70.99,69.81,neutral
2026-05-17T15:58:13,1,78.16,78.47,48.0,42.84,78.62,70.53,69.61,82.24,uncertain
2026-05-17T15:58:14,1,80.24,75.56,48.0,42.91,79.66,70.34,69.52,82.9,uncertain
2026-05-17T15:58:15,1,78.48,74.38,68.0,31.35,77.81,74.24,74.12,79.21,neutral
2026-05-17T15:58:16,1,79.92,74.4,48.0,43.62,78.93,69.53,68.58,79.95,uncertain
2026-05-17T15:58:17,1,78.0,77.83,48.0,43.18,78.27,70.13,69.17,81.05,uncertain
2026-05-17T15:58:18,1,74.31,78.14,48.0,45.09,74.83,68.08,66.67,72.55,uncertain
2026-05-17T15:58:19,1,54.86,76.82,68.0,39.2,60.05,65.91,66.07,67.31,neutral
2026-05-17T15:58:21,1,71.27,68.85,68.0,35.4,71.3,69.69,70.05,75.95,neutral
2026-05-17T15:58:22,1,69.51,66.44,68.0,36.32,69.88,68.63,69.43,78.76,neutral
2026-05-17T15:58:23,1,81.2,83.06,48.0,41.94,80.36,71.63,69.32,69.46,uncertain
2026-05-17T15:58:24,1,80.56,68.89,68.0,32.66,77.85,72.61,72.35,74.45,neutral
2026-05-17T15:58:25,1,81.36,75.25,48.0,42.78,80.29,70.47,69.52,81.67,uncertain
2026-05-17T15:58:26,1,76.55,79.14,68.0,30.96,76.99,74.84,74.32,76.24,neutral
2026-05-17T15:58:27,1,78.0,77.59,48.0,42.83,78.64,70.51,69.87,85.2,uncertain
2026-05-17T15:58:28,1,76.39,70.45,68.0,33.48,75.18,71.8,71.71,74.95,neutral
2026-05-17T15:58:29,1,78.64,82.39,48.0,42.5,78.81,71.02,69.2,73.58,uncertain
2026-05-17T15:58:30,1,77.36,76.87,48.0,43.62,77.66,69.63,68.77,81.26,uncertain
2026-05-17T15:58:31,1,72.23,75.58,68.0,33.86,72.64,71.58,71.07,70.26,neutral
2026-05-17T15:58:32,1,75.27,86.81,48.0,42.97,76.56,70.67,68.32,67.4,uncertain
2026-05-17T15:58:33,1,77.84,81.39,68.0,30.55,77.72,75.34,74.18,70.3,neutral
2026-05-17T15:58:34,1,74.95,77.46,68.0,31.14,76.3,74.6,74.83,83.86,neutral
2026-05-17T15:58:35,1,56.19,76.88,68.0,37.26,62.54,68.04,69.24,82.47,neutral
2026-05-17T15:58:36,1,81.91,71.09,68.0,30.89,79.97,74.61,74.7,82.05,neutral
2026-05-17T15:58:37,1,81.04,74.46,48.0,44.47,78.53,68.58,66.67,67.83,uncertain
2026-05-17T15:58:38,1,77.36,84.01,48.0,42.29,78.35,71.31,69.59,75.29,uncertain
2026-05-17T15:58:39,1,56.55,73.38,68.0,38.96,61.3,66.06,66.81,73.79,neutral
2026-05-17T15:58:40,1,56.55,75.28,68.0,37.81,62.29,67.39,68.49,80.18,neutral
2026-05-17T15:58:41,1,71.75,74.35,68.0,33.61,72.8,71.82,71.95,77.53,neutral
2026-05-17T15:58:42,1,80.08,78.83,48.0,43.27,78.95,70.05,68.17,71.02,uncertain
2026-05-17T15:58:43,1,78.64,83.37,48.0,41.26,79.96,72.41,71.26,83.36,uncertain
2026-05-17T15:58:44,1,81.68,77.53,48.0,42.63,80.36,70.69,69.16,75.92,uncertain
2026-05-17T15:58:45,1,70.95,73.93,68.0,34.17,71.95,71.2,71.25,75.57,neutral
2026-05-17T15:58:47,1,65.34,79.76,68.0,35.72,67.57,69.73,68.71,61.66,neutral
2026-05-17T15:58:48,1,75.59,75.41,48.0,47.02,73.66,65.86,63.36,56.63,uncertain
2026-05-17T15:58:49,1,75.91,81.77,68.0,31.65,75.8,74.16,72.63,64.2,neutral
2026-05-17T15:58:50,1,80.56,77.24,48.0,43.38,79.18,69.88,68.19,72.76,uncertain
2026-05-17T15:58:51,1,74.95,85.16,48.0,42.45,77.1,71.19,69.75,78.06,uncertain
2026-05-17T15:58:52,1,77.04,82.36,68.0,29.74,78.11,76.26,75.67,78.19,neutral
2026-05-17T15:58:53,1,73.03,76.6,68.0,32.21,74.52,73.42,73.63,81.48,neutral
2026-05-17T15:58:54,1,80.24,76.61,68.0,30.56,79.12,75.16,74.54,75.59,neutral
2026-05-17T15:58:55,1,60.3,78.97,48.0,49.09,65.01,63.85,63.26,73.77,uncertain
2026-05-17T15:58:56,1,72.07,78.51,68.0,32.41,73.75,73.26,73.1,77.27,neutral
2026-05-17T15:58:57,1,76.39,78.54,68.0,31.34,76.6,74.4,73.8,74.55,neutral
2026-05-17T15:58:58,1,79.92,80.2,68.0,29.58,79.65,76.35,75.61,76.69,neutral
2026-05-17T15:58:59,1,77.04,83.57,48.0,42.25,78.29,71.34,69.86,77.87,uncertain
2026-05-17T15:59:00,1,80.4,80.19,68.0,30.06,79.37,75.82,74.6,70.48,neutral
