timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T15:59:33,1,61.03,71.82,48.0,50.37,64.67,62.22,62.32,78.0,uncertain
2026-05-17T15:59:34,1,62.0,66.25,48.0,51.53,64.4,60.76,61.16,78.4,uncertain
2026-05-17T15:59:35,1,62.0,70.61,48.0,49.35,66.19,63.29,64.18,88.44,uncertain
2026-05-17T15:59:36,1,61.39,70.55,48.0,49.34,65.96,63.31,64.39,90.59,uncertain
2026-05-17T15:59:37,1,57.04,72.53,68.0,38.16,62.37,66.91,68.32,82.54,neutral
2026-05-17T15:59:38,1,58.73,71.18,68.0,37.67,63.69,67.39,69.04,85.88,neutral
2026-05-17T15:59:39,1,58.85,72.15,68.0,37.0,64.32,68.16,70.02,89.59,neutral
2026-05-17T15:59:40,1,60.06,71.47,48.0,49.65,65.02,63.01,64.0,89.12,uncertain
2026-05-17T15:59:41,1,59.21,73.18,68.0,36.59,64.78,68.63,70.42,89.72,neutral
2026-05-17T15:59:42,1,60.43,70.48,48.0,49.96,64.96,62.64,63.56,87.62,uncertain
2026-05-17T15:59:43,1,61.03,72.89,48.0,49.13,65.81,63.61,64.35,87.5,uncertain
2026-05-17T15:59:44,1,59.82,72.49,48.0,49.6,64.88,63.1,63.93,87.61,uncertain
2026-05-17T15:59:45,1,59.21,72.45,48.0,49.74,64.5,62.95,63.87,88.22,uncertain
2026-05-17T15:59:46,1,59.46,72.78,48.0,49.4,64.91,63.33,64.35,89.99,uncertain
2026-05-17T15:59:47,1,59.21,72.79,48.0,49.66,64.55,63.05,63.94,88.13,uncertain
2026-05-17T15:59:48,1,73.51,76.48,68.0,35.03,71.91,70.31,68.33,52.11,neutral
2026-05-17T15:59:49,1,74.79,86.31,48.0,43.35,76.02,70.23,67.86,66.38,uncertain
2026-05-17T15:59:50,1,76.88,77.82,48.0,45.18,75.82,67.95,65.83,64.58,uncertain
2026-05-17T15:59:51,1,80.24,78.77,48.0,42.44,79.85,70.96,69.66,78.99,uncertain
2026-05-17T15:59:52,1,78.48,78.77,48.0,42.72,78.84,70.66,69.66,81.62,uncertain
2026-05-17T15:59:53,1,73.99,80.07,68.0,31.91,74.9,73.84,73.1,72.08,neutral
2026-05-17T15:59:54,1,80.56,73.3,48.0,44.57,78.34,68.45,66.9,71.48,uncertain
2026-05-17T15:59:56,1,74.95,73.66,48.0,45.32,75.26,67.69,67.08,80.32,uncertain
2026-05-17T15:59:57,1,57.16,84.31,68.0,36.4,63.12,69.19,68.83,67.94,neutral
2026-05-17T15:59:58,1,71.27,83.66,68.0,31.68,73.69,74.23,73.51,73.17,neutral
2026-05-17T15:59:59,1,80.88,76.18,48.0,44.4,78.39,68.72,66.46,64.4,uncertain
2026-05-17T16:00:00,1,78.8,85.94,48.0,41.81,79.25,71.88,69.61,70.42,uncertain
2026-05-17T16:00:01,1,74.15,80.07,68.0,31.85,75.02,73.9,73.17,72.22,neutral
2026-05-17T16:00:02,1,56.43,83.56,48.0,48.78,63.31,64.36,63.91,76.43,uncertain
2026-05-17T16:00:03,1,70.47,75.54,68.0,34.39,71.38,71.01,70.61,70.48,neutral
2026-05-17T16:00:04,1,70.15,76.81,68.0,33.1,72.43,72.47,72.79,80.95,neutral
2026-05-17T16:00:05,1,74.63,77.47,48.0,45.68,74.43,67.41,65.65,67.5,uncertain
2026-05-17T16:00:06,1,78.96,70.69,68.0,33.17,76.52,72.13,71.48,69.51,neutral
2026-05-17T16:00:07,1,79.92,73.59,68.0,30.82,79.0,74.78,74.84,82.14,neutral
2026-05-17T16:00:08,1,79.28,74.88,68.0,30.5,78.94,75.18,75.32,83.83,neutral
2026-05-17T16:00:09,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,71.01,not visible
2026-05-17T16:00:10,1,62.0,59.29,48.0,53.06,63.5,58.87,59.95,81.92,uncertain
2026-05-17T16:00:11,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,84.41,not visible
2026-05-17T16:00:12,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,83.48,not visible
2026-05-17T16:00:13,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,84.69,not visible
2026-05-17T16:00:14,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,84.63,not visible
2026-05-17T16:00:15,1,57.52,76.03,68.0,37.0,63.42,68.28,69.51,83.17,neutral
2026-05-17T16:00:16,1,55.22,84.31,68.0,35.92,62.81,69.75,70.29,78.79,neutral
