timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T16:00:50,1,76.88,87.8,48.0,41.14,78.95,72.69,70.97,78.0,uncertain
2026-05-17T16:00:51,1,52.55,78.08,68.0,41.15,57.05,63.83,62.88,51.58,neutral
2026-05-17T16:00:52,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,70.97,not visible
2026-05-17T16:00:53,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,72.82,not visible
2026-05-17T16:00:54,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,82.24,not visible
2026-05-17T16:00:55,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.96,not visible
2026-05-17T16:00:56,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,83.95,not visible
2026-05-17T16:00:57,1,0.0,53.42,48.0,73.83,17.84,36.47,41.33,82.24,uncertain
2026-05-17T16:00:58,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.22,not visible
2026-05-17T16:00:59,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.5,not visible
2026-05-17T16:01:00,1,80.56,77.9,68.0,33.16,76.54,72.33,69.37,45.13,neutral
2026-05-17T16:01:01,1,80.56,77.14,48.0,43.0,79.57,70.29,68.92,76.85,uncertain
2026-05-17T16:01:02,1,78.16,82.37,48.0,42.58,78.53,70.94,69.2,74.35,uncertain
2026-05-17T16:01:03,1,74.47,81.7,48.0,43.74,75.92,69.67,68.3,75.93,uncertain
2026-05-17T16:01:04,1,50.98,80.46,68.0,40.06,57.28,65.12,64.8,60.92,neutral
2026-05-17T16:01:05,1,50.38,83.43,68.0,38.15,58.67,67.31,67.81,73.83,neutral
2026-05-17T16:01:06,1,53.28,83.56,68.0,37.57,60.43,67.92,67.99,70.26,neutral
2026-05-17T16:01:07,1,81.36,85.3,48.0,41.3,80.86,72.4,69.94,69.29,uncertain
2026-05-17T16:01:08,1,80.08,83.66,48.0,41.81,79.97,71.8,69.75,72.58,uncertain
2026-05-17T16:01:09,1,72.87,82.68,48.0,43.3,75.61,70.2,69.35,82.64,uncertain
2026-05-17T16:01:10,1,54.61,82.68,48.0,48.41,63.02,64.76,65.33,88.18,uncertain
